id,name,category_id:id,factor
02,瓶,product.product_uom_categ_unit,1
03,袋,product.product_uom_categ_unit,1
04,份,product.product_uom_categ_unit,1
05,盘,product.product_uom_categ_unit,1
06,包,product.product_uom_categ_unit,1
07,套,product.product_uom_categ_unit,1
08,盒,product.product_uom_categ_unit,1
09,块,product.product_uom_categ_unit,1
10,个,product.product_uom_categ_unit,1
11,壶,product.product_uom_categ_unit,1
12,罐,product.product_uom_categ_unit,1
13,斤,product.product_uom_categ_unit,1
14,张,product.product_uom_categ_unit,1
16,件,product.product_uom_categ_unit,1
17,卷,product.product_uom_categ_unit,1
18,桶,product.product_uom_categ_unit,1
20,条,product.product_uom_categ_unit,1
21,台,product.product_uom_categ_unit,1
